"book_name","genre","original_language","pages_number","writing_year"
Преступление и наказание,Философия,Русский,234,1866
Село Степанчиково и его обитатели,Сатира,Русский,100,1859
Братья Карамазовы,Драма,Русский,255,1879
Идиот,Философия,Русский,295,1869
Униженные и оскорблённые,Психология,Русский,195,1861
Подросток,Психология,Русский,124,1875
Бесы,Психология,Русский,324,1872
Игрок,Классика,Русский,354,1866
Бедные люди,Классика,Русский,112,1845
Мастер и Маргарита,Сатира,Русский,402,1940
Собачье сердце,Сатира,Русский,366,1925
Белая гвардия,История,Русский,322,1924
Записки юного врача,Сборник,Русский,312,1926
Морфий,Повесть,Русский,222,1926
Евгений Онегин,Поэма,Русский,240,1837
Повести Белкина,Повесть,Русский,222,1831
